,id,matrix_gpa,language_test_scores,reading_test_score,math_test_scores,total_points,matrix_languauge,matrix_math,matrix_reading,status,matrix_languauge_retest,matrix_math_retest,matrix_reading_restest,total_points_retest,updated_at,guardian1_email,guardian2_email,grade,deliver_test_accomodation_approved,test_date_sign_up,current_school,gpa,language_test_scores2,reading_test_score2,math_test_scores2
563,564,,18.0,49.0,29.0,7,1,1,5,In Processing,,,,,2024-11-11 11:56:02,,,9,,January 18 2025,Edward Hynes Lakeview,,,,
564,565,30.0,,,,30.0,,,,Eligible,,,,30.0,2024-11-11 13:47:47,,,9,,February 15 2025 (No-rest option),Renew Laurel Elementary,4.0,,,
565,566,,,,,0,,,,In Processing,,,,,2024-11-11 13:51:42,,,9,,February 15 2025 (No-rest option),Mary McLeod Bethune Elementary,,,,
566,567,,,,,0,,,,In Processing,,,,,2024-11-11 17:29:21,,,9,,April 26 2025 (No-rest option),Renew Dolores T. Aaron Academy,,,,
567,568,30.0,94.0,99.0,41.0,89.0,28,1,30,Eligible,,,,30.0,2024-11-11 19:59:33,,,9,,December 14 2024,International School of Louisiana,4.0,,,
568,569,30.0,72.0,95.0,90.0,101.0,17,26,28,Eligible,,,,30.0,2024-11-11 20:22:03,,,9,,December 14 2024,Esperanza Charter School,3.88,,,
569,570,,50.0,69.0,57.0,30,6,9,15,In Processing,,,,,2024-11-11 20:52:04,,,9,,January 18 2025,Fannie C. Williams Charter School,,,,
570,571,,,,,0,,,,In Processing,,,,,2024-11-11 21:38:48,,,9,,,Lake Forest Elementary Charter School,,,,
571,572,,40.0,59.0,48.0,16,1,5,10,In Processing,,,,,2024-11-12 6:23:57,,,9,,April 26 2025 (No-rest option),Belle Chasse Academy,,,,
572,573,,60.0,61.0,60.0,33,11,11,11,In Processing,,,,,2024-11-12 12:12:23,,,9,,April 26 2025 (No-rest option),International School of Louisiana,,,,
573,574,,50.0,85.0,41.0,30,6,1,23,In Processing,,,,,2024-11-12 11:02:59,,,9,,December 14 2024,Lake Forest Elementary Charter School,,,,
574,575,,31.0,55.0,37.0,10,1,1,8,In Processing,,,,,2024-11-12 11:45:31,,,9,,March 22 2025 (No-rest option),Phillis Wheatley Community School,,,,
575,576,,,,,0,,,,In Processing,,,,,2024-11-12 11:57:14,,,9,,,Bricolage Academy,,,,
576,577,,,,,0,,,,In Processing,,,,,2024-11-12 12:45:54,,,9,,December 14 2024,Other,,,,
577,578,30.0,85.0,99.0,98.0,113.0,23,30,30,Eligible,,,,30.0,2024-11-12 13:27:05,,,9,,December 14 2024,Edward Hynes Lakeview,3.5,,,
578,579,28.0,85.0,77.0,95.0,98.0,23,28,19,Eligible,,,,28.0,2024-11-12 14:47:48,,,9,,February 15 2025 (No-rest option),The Willow School,3.38,,,
579,580,,,,,0,,,,In Processing,,,,,2024-11-12 14:58:36,,,11,,,Other,,,,
580,581,,44.0,70.0,72.0,36,3,17,16,In Processing,,,,,2024-11-18 17:45:31,,,9,,March 22 2025 (No-rest option),Other,,,,
581,582,,40.0,43.0,57.0,12,1,9,2,In Processing,,,,,2024-11-12 18:07:43,,,9,,December 14 2024,Renew Dolores T. Aaron Academy,,,,
582,583,,69.0,88.0,72.0,57,15,17,25,In Processing,,,,,2024-11-12 19:01:37,,,9,,December 14 2024,Dorothy Height Charter School,,,,
583,584,30.0,50.0,77.0,76.0,74.0,6,19,19,Eligible,,,,30.0,2024-11-12 21:36:57,,,9,,March 22 2025 (No-rest option),Renew Dolores T. Aaron Academy,3.88,,,
584,585,,58.0,95.0,78.0,58,10,20,28,In Processing,,,,,2024-11-13 7:34:04,,,9,,January 18 2025,The Willow School,,,,
585,586,30.0,87.0,99.0,99.0,114.0,24,30,30,Eligible,,,,30.0,2024-11-13 8:22:28,,,9,,December 14 2024,Homer Plessy Community School,3.75,,,
586,587,,,,,0,,,,In Processing,,,,,2024-11-13 9:52:03,,,9,,,Einstein Middle School,,,,
587,588,30.0,81.0,96.0,93.0,107.0,21,27,29,Eligible,,,,30.0,2024-11-13 9:40:57,,,9,,December 14 2024,The Willow School,4.0,,,
588,589,,,,,0,,,,In Processing,,,,,2024-11-13 11:41:04,,,10,,February 15 2025 (No-rest option),Other,,,,
589,590,,80.0,85.0,10.0,45,21,1,23,In Processing,,,,,2024-11-19 9:44:27,,,9,,December 14 2024,Bricolage Academy,,,,
590,591,,,,,0,,,,In Processing,,,,,2024-11-13 11:48:20,,,9,,April 26 2025 (No-rest option),Other,,,,
591,592,25.0,58.0,96.0,96.0,93.0,10,29,29,Eligible,,,,25.0,2024-11-13 14:11:30,,,9,Test Accommodations Approved,January 18 2025,Audubon Uptown Montessori and French,3.0,,,
592,593,30.0,80.0,99.0,85.0,104.0,21,23,30,Eligible,,,,30.0,2024-11-13 14:45:05,,,9,,December 14 2024,Homer Plessy Community School,3.63,,,
593,594,,27.0,73.0,37.0,19,1,1,17,In Processing,,,,,2024-11-13 17:38:43,,,9,,March 22 2025 (No-rest option),Benjamin Franklin Elementary,,,,
594,595,,28.0,33.0,14.0,3,1,1,1,In Processing,,,,,2024-11-13 18:27:42,,,9,,January 18 2025,International School of Louisiana,,,,
595,596,,30.0,69.0,70.0,32,1,16,15,In Processing,,,,,2024-11-13 21:19:11,,,9,,April 26 2025 (No-rest option),Renew Dolores T. Aaron Academy,,,,
596,597,,30.0,69.0,70.0,32,1,16,15,In Processing,,,,,2024-11-13 21:19:11,,,9,,April 26 2025 (No-rest option),Renew Dolores T. Aaron Academy,,,,
597,598,,30.0,69.0,70.0,32,1,16,15,In Processing,,,,,2024-11-13 21:19:11,,,9,,April 26 2025 (No-rest option),Renew Dolores T. Aaron Academy,,,,
598,599,,55.0,65.0,57.0,30,8,9,13,In Processing,,,,,2024-11-13 21:48:44,,,9,,March 22 2025 (No-rest option),Bricolage Academy,,,,
599,600,30.0,98.0,99.0,98.0,120.0,30,30,30,Eligible,,,,30.0,2024-11-13 21:41:13,,,9,,December 14 2024,St. Paul's Episcopal School,4.0,,,
600,601,,68.0,74.0,39.0,34,15,1,18,In Processing,,,,,2024-11-14 7:35:34,,,11,,January 18 2025,Morris Jeff Community School,,,,
